Name;Location;Open Year-Round;Handicap Accessible;Borough;Comments;Latitude;Longitude;SUFFIX;POP100;GEOID;CENTLAT;BLOCK;AREAWATER;STATE;BASENAME;OID;LSADC;INTPTLAT;FUNCSTAT;NAME;OBJECTID;TRACT;CENTLON;BLKGRP;AREALAND;HU100;INTPTLON;MTFCC;LWBLKTYP;UR;COUNTY;SUFFIX;POP100;GEOID;CENTLAT;BLOCK;AREAWATER;STATE;BASENAME;OID;LSADC;INTPTLAT;FUNCSTAT;NAME;OBJECTID;TRACT;CENTLON;BLKGRP;AREALAND;HU100;INTPTLON;MTFCC;LWBLKTYP;UR;COUNTY;GEOID;STATE;COUNTY;TRACT;BLOCK;
Linden Park;104 Street & 41 Avenue;Yes;;Queens;;40.749.307;-73.861.407;;6;360810405011004;407.485.687;1004;0;36;1004;2,10701E+14;BK;407.485.687;S;Block 1004;1391276;40501;-738.619.166;1;16891;0;-738.619.166;G5040;L;U;81;;6;3,6081E+14;407.485.687;1004;0;36;1004;2,10701E+14;BK;407.485.687;S;Block 1004;1391276;40501;-738.619.166;1;16891;0;-738.619.166;G5040;L;U;81;3,6081E+14;36;81;40501;1004;
Lindower Park;Mill & Strickland avenues, 60 Street;Yes;;Brooklyn;;406.113.786;-739.130.391;;49;360470698002005;406.112.503;2005;0;36;2005;2,10701E+14;BK;406.112.503;S;Block 2005;4709387;69800;-739.170.851;2;255880;14;-739.170.851;G5040;L;U;47;;49;3,60471E+14;406.112.503;2005;0;36;2005;2,10701E+14;BK;406.112.503;S;Block 2005;4709387;69800;-739.170.851;2;255880;14;-739.170.851;G5040;L;U;47;3,60471E+14;36;47;69800;2005;
Little Flower Playground;Madison Street opposite Jefferson Street;No;Yes;Manhattan;;407.126.087;-73.990.517;;327;360610006001002;407.129.212;1002;0;36;1002;2,10701E+14;BK;407.129.212;S;Block 1002;2833301;600;-739.911.847;1;15866;134;-739.911.847;G5040;L;U;61;;327;3,6061E+14;407.129.212;1002;0;36;1002;2,10701E+14;BK;407.129.212;S;Block 1002;2833301;600;-739.911.847;1;15866;134;-739.911.847;G5040;L;U;61;3,6061E+14;36;61;600;1002;
London Planetree Playground;88 Street, Atlantic-95 avenues;Yes;;Queens;;406.866.195;-7.385.396.089.999.990;;0;360810034001001;406.861.776;1001;0;36;1001;2,10701E+14;BK;406.861.776;S;Block 1001;2547944;3400;-738.532.609;1;11475;0;-738.532.609;G5040;L;U;81;;0;3,6081E+14;406.861.776;1001;0;36;1001;2,10701E+14;BK;406.861.776;S;Block 1001;2547944;3400;-738.532.609;1;11475;0;-738.532.609;G5040;L;U;81;3,6081E+14;36;81;3400;1001;
Loreto Park Playground;Morris Park Avenue, Haight Avenue, Tomlinson Avenue, Van Nest Avenue;Yes;;Bronx;;40.848.601;-73.851.218;;246;360050254002001;408.474.924;2001;0;36;2001;2,10701E+14;BK;408.474.924;S;Block 2001;1763657;25400;-738.508.977;2;18952;104;-738.508.977;G5040;L;U;5;;246;3,6005E+14;408.474.924;2001;0;36;2001;2,10701E+14;BK;408.474.924;S;Block 2001;1763657;25400;-738.508.977;2;18952;104;-738.508.977;G5040;L;U;5;3,6005E+14;36;5;25400;2001;
Loring Field;North Conduit & 149 Avenue;Yes;;Queens;;406.671.078;-738.124.888;;0;360810846021002;406.670.200;1002;0;36;1002;2,10701E+14;BK;406.670.200;S;Block 1002;807334;84602;-738.127.468;1;939;0;-738.127.468;G5040;L;U;81;;0;3,60811E+14;406.670.200;1002;0;36;1002;2,10701E+14;BK;406.670.200;S;Block 1002;807334;84602;-738.127.468;1;939;0;-738.127.468;G5040;L;U;81;3,60811E+14;36;81;84602;1002;
Lost Battalion Hall;Queens Boulevard between 62 Avenue & 62 Road;Yes;;Queens;;407.140.394;-7.389.959.999.999.990;;123;360810603001006;407.136.059;1006;0;36;1006;2,10701E+14;BK;407.136.059;S;Block 1006;3503480;60300;-739.001.754;1;8758;52;-739.001.754;G5040;L;U;81;;123;3,60811E+14;407.136.059;1006;0;36;1006;2,10701E+14;BK;407.136.059;S;Block 1006;3503480;60300;-739.001.754;1;8758;52;-739.001.754;G5040;L;U;81;3,60811E+14;36;81;60300;1006;
Lou Lodati Playground;Skillman Avenue & 43 Street;Yes;;Queens;;407.468.885;-7.392.080.659.999.990;;797;360810181023000;407.461.108;3000;0;36;3000;2,10701E+14;BK;407.461.108;S;Block 3000;1337737;18102;-739.214.287;3;14838;411;-739.214.287;G5040;L;U;81;;797;3,6081E+14;407.461.108;3000;0;36;3000;2,10701E+14;BK;407.461.108;S;Block 3000;1337737;18102;-739.214.287;3;14838;411;-739.214.287;G5040;L;U;81;3,6081E+14;36;81;18102;3000;
Louis Armstrong Playground (PS 143);37 Avenue between 112 & 113 streets;No;Yes;Queens;;407.501.911;-738.801.257;;661;360810279002001;407.512.096;2001;0;36;2001;2,10701E+14;BK;407.512.096;S;Block 2001;3760369;27900;-738.803.127;2;18188;230;-738.803.127;G5040;L;U;81;;661;3,6081E+14;407.512.096;2001;0;36;2001;2,10701E+14;BK;407.512.096;S;Block 2001;3760369;27900;-738.803.127;2;18188;230;-738.803.127;G5040;L;U;81;3,6081E+14;36;81;27900;2001;
Louis Pasteur Park;248 Street & 51 Avenue;Yes;;Queens;;407.620.682;-7.373.607.539.999.990;;78;360811507011010;407.622.055;1010;0;36;1010;2,10701E+14;BK;407.622.055;S;Block 1010;3501088;150701;-737.347.583;1;48547;30;-737.347.583;G5040;L;U;81;;78;3,60812E+14;407.622.055;1010;0;36;1010;2,10701E+14;BK;407.622.055;S;Block 1010;3501088;150701;-737.347.583;1;48547;30;-737.347.583;G5040;L;U;81;3,60812E+14;36;81;150701;1010;
Lozada Playground;East 135 Street, Willis Avenue, Alexander Avenue;Yes;;Bronx;;408.072.114;-7.392.432.029.999.990;;1600;360050023003000;408.082.723;3000;0;36;3000;2,10701E+14;BK;408.082.723;S;Block 3000;4166762;2300;-739.249.668;3;33231;647;-739.249.668;G5040;L;U;5;;1600;3,6005E+14;408.082.723;3000;0;36;3000;2,10701E+14;BK;408.082.723;S;Block 3000;4166762;2300;-739.249.668;3;33231;647;-739.249.668;G5040;L;U;5;3,6005E+14;36;5;2300;3000;
Luna Park Playground;West 12 Street & Surf Avenue;Yes;;Brooklyn;;4.057.548.329.999.990;-7.397.963.899.999.990;;0;360470352001002;405.751.386;1002;0;36;1002;2,10701E+14;BK;405.751.386;S;Block 1002;4612592;35200;-739.792.579;1;5540;0;-739.792.579;G5040;L;U;47;;0;3,6047E+14;405.751.386;1002;0;36;1002;2,10701E+14;BK;405.751.386;S;Block 1002;4612592;35200;-739.792.579;1;5540;0;-739.792.579;G5040;L;U;47;3,6047E+14;36;47;35200;1002;
Lyons Pool;Pier 6, Victory Boulevard;No;Yes;Staten Island;;406.375.608;-74.074.486;;0;360850021002001;406.370.782;2001;0;36;2001;2,10701E+14;BK;406.370.782;S;Block 2001;7363451;2100;-740.742.760;2;18473;0;-740.742.760;G5040;L;U;85;;0;3,6085E+14;406.370.782;2001;0;36;2001;2,10701E+14;BK;406.370.782;S;Block 2001;7363451;2100;-740.742.760;2;18473;0;-740.742.760;G5040;L;U;85;3,6085E+14;36;85;2100;2001;
Macombs Dam Park;East 161th Street & Ruppert Place;Yes;;Bronx;;408.245.063;-739.148.575;;723;360050141001002;408.247.125;1002;0;36;1002;2,10701E+14;BK;408.247.125;S;Block 1002;3325346;14100;-739.144.201;1;9922;281;-739.144.201;G5040;L;U;5;;723;3,6005E+14;408.247.125;1002;0;36;1002;2,10701E+14;BK;408.247.125;S;Block 1002;3325346;14100;-739.144.201;1;9922;281;-739.144.201;G5040;L;U;5;3,6005E+14;36;5;14100;1002;
Magenta Playground;Olinville Avenue, Rosewood Street;Yes;Yes;Bronx;;408.732.408;-7.386.820.689.999.990;;91;360050374002002;408.742.379;2002;0;36;2002;2,10701E+14;BK;408.742.379;S;Block 2002;2135238;37400;-738.676.234;2;20965;71;-738.676.234;G5040;L;U;5;;91;3,6005E+14;408.742.379;2002;0;36;2002;2,10701E+14;BK;408.742.379;S;Block 2002;2135238;37400;-738.676.234;2;20965;71;-738.676.234;G5040;L;U;5;3,6005E+14;36;5;37400;2002;
Mahoney Playground;Beechwood & Cleveland avenues;Yes;;Staten Island;;406.440.795;-740.856.941;;1359;360850007001002;406.452.442;1002;0;36;1002;2,10701E+14;BK;406.452.442;S;Block 1002;6910427;700;-740.867.621;1;74476;532;-740.867.621;G5040;L;U;85;;1359;3,6085E+14;406.452.442;1002;0;36;1002;2,10701E+14;BK;406.452.442;S;Block 1002;6910427;700;-740.867.621;1;74476;532;-740.867.621;G5040;L;U;85;3,6085E+14;36;85;700;1002;
Mapes Pool;East 180 Street, Mapes & Prospect avenues;Yes;;Bronx;;408.465.184;-7.388.563.909.999.990;;0;360050371002000;408.461.418;2000;0;36;2000;2,10701E+14;BK;408.461.418;S;Block 2000;1766229;37100;-738.867.048;2;19897;0;-738.867.048;G5040;L;U;5;;0;3,6005E+14;408.461.418;2000;0;36;2000;2,10701E+14;BK;408.461.418;S;Block 2000;1766229;37100;-738.867.048;2;19897;0;-738.867.048;G5040;L;U;5;3,6005E+14;36;5;37100;2000;
Maple Playground;Kissena Boulevard & Maple Avenue;No;Yes;Queens;;407.563.615;-738.258.127;;907;360810853002001;407.563.419;2001;0;36;2001;2,10701E+14;BK;407.563.419;S;Block 2001;2945605;85300;-738.274.802;2;26500;417;-738.274.802;G5040;L;U;81;;907;3,60811E+14;407.563.419;2001;0;36;2001;2,10701E+14;BK;407.563.419;S;Block 2001;2945605;85300;-738.274.802;2;26500;417;-738.274.802;G5040;L;U;81;3,60811E+14;36;81;85300;2001;
Marble Hill Playground;Marble Hill Avenue, West 230 Street, West 228 Street;No;;Bronx;;4.087.830.049.999.990;-739.080.268;;165;360050289003003;408.793.618;3003;0;36;3003;2,10701E+14;BK;408.793.618;S;Block 3003;1474328;28900;-739.078.137;3;22722;76;-739.078.137;G5040;L;U;5;;165;3,6005E+14;408.793.618;3003;0;36;3003;2,10701E+14;BK;408.793.618;S;Block 3003;1474328;28900;-739.078.137;3;22722;76;-739.078.137;G5040;L;U;5;3,6005E+14;36;5;28900;3003;
Marconi Park;109 Avenue & 155 Street;Yes;;Queens;;406.924.872;-737.959.786;;0;360810254012001;406.936.238;2001;0;36;2001;2,10701E+14;BK;406.936.238;S;Block 2001;3059503;25401;-737.957.433;2;32006;0;-737.957.433;G5040;L;U;81;;0;3,6081E+14;406.936.238;2001;0;36;2001;2,10701E+14;BK;406.936.238;S;Block 2001;3059503;25401;-737.957.433;2;32006;0;-737.957.433;G5040;L;U;81;3,6081E+14;36;81;25401;2001;
Marc's & Jason's Playground;Sterling Street & Empire Boulevard;Yes;;Brooklyn;;406.632.343;-739.508.962;;295;360470329003000;406.636.033;3000;0;36;3000;2,10701E+14;BK;406.636.033;S;Block 3000;4259840;32900;-739.495.067;3;21035;144;-739.495.067;G5040;L;U;47;;295;3,6047E+14;406.636.033;3000;0;36;3000;2,10701E+14;BK;406.636.033;S;Block 3000;4259840;32900;-739.495.067;3;21035;144;-739.495.067;G5040;L;U;47;3,6047E+14;36;47;32900;3000;
Marcus Garvey Park (Pelham Fritz Recreation Center);18 Mount Morris Park West;Yes;;Manhattan;;408.050.169;-73.945.272;;54;360610198002000;408.044.813;2000;0;36;2000;2,10701E+14;BK;408.044.813;S;Block 2000;3265088;19800;-739.436.660;2;96354;2;-739.436.660;G5040;L;U;61;;54;3,6061E+14;408.044.813;2000;0;36;2000;2,10701E+14;BK;408.044.813;S;Block 2000;3265088;19800;-739.436.660;2;96354;2;-739.436.660;G5040;L;U;61;3,6061E+14;36;61;19800;2000;
Marcus Garvey Park (Pool);Madison Avenue, East 120 to East 124 streets;No;;Manhattan;;408.037.062;-739.379.199;;309;360610196003002;408.043.782;3002;0;36;3002;2,10701E+14;BK;408.043.782;S;Block 3002;3010033;19600;-739.384.747;3;13391;3;-739.384.747;G5040;L;U;61;;309;3,6061E+14;408.043.782;3002;0;36;3002;2,10701E+14;BK;408.043.782;S;Block 3002;3010033;19600;-739.384.747;3;13391;3;-739.384.747;G5040;L;U;61;3,6061E+14;36;61;19600;3002;
Maria Hernandez Park;Knickerbocker to Irving avenues, Starr to Suydam Streets;Yes;;Brooklyn;;407.030.495;-739.228.108;;870;360470429002000;407.025.362;2000;0;36;2000;2,10701E+14;BK;407.025.362;S;Block 2000;4640218;42900;-739.227.327;2;17424;290;-739.227.327;G5040;L;U;47;;870;3,6047E+14;407.025.362;2000;0;36;2000;2,10701E+14;BK;407.025.362;S;Block 2000;4640218;42900;-739.227.327;2;17424;290;-739.227.327;G5040;L;U;47;3,6047E+14;36;47;42900;2000;
Marie Curie Park (JHS 158);211 & Oceana streets, 46 Avenue;Yes;;Queens;;40.755.137;-737.828.696;;201;360811451011012;407.540.808;1012;0;36;1012;2,10701E+14;BK;407.540.808;S;Block 1012;2939728;145101;-737.825.064;1;49229;67;-737.825.064;G5040;L;U;81;;201;3,60811E+14;407.540.808;1012;0;36;1012;2,10701E+14;BK;407.540.808;S;Block 1012;2939728;145101;-737.825.064;1;49229;67;-737.825.064;G5040;L;U;81;3,60811E+14;36;81;145101;1012;
Marine Park;Burnett Street between Avenue U and Avenue X/west of East 33rd Street;Yes;;Brooklyn;;40.590.591;-739.706.008;;314;360470388003002;405.915.522;3002;0;36;3002;2,10701E+14;BK;405.915.522;S;Block 3002;4614475;38800;-739.708.896;3;18872;116;-739.708.896;G5040;L;U;47;;314;3,6047E+14;405.915.522;3002;0;36;3002;2,10701E+14;BK;405.915.522;S;Block 3002;4614475;38800;-739.708.896;3;18872;116;-739.708.896;G5040;L;U;47;3,6047E+14;36;47;38800;3002;
Marine Park Nature Center;East 33rd Street and Avenue U;;Yes;Brooklyn;;406.050.708;-739.298.714;;1;360470666001001;406.059.426;1001;0;36;1001;2,10701E+14;BK;406.059.426;S;Block 1001;6655710;66600;-739.347.998;1;330153;1;-739.347.998;G5040;L;U;47;;1;3,60471E+14;406.059.426;1001;0;36;1001;2,10701E+14;BK;406.059.426;S;Block 1001;6655710;66600;-739.347.998;1;330153;1;-739.347.998;G5040;L;U;47;3,60471E+14;36;47;66600;1001;
Marion-Hopkinson Playground;Hopkinson Avenue & Marion Street;Yes;;Brooklyn;;406.814.134;-739.141.835;;512;360470371001001;406.816.208;1001;0;36;1001;2,10701E+14;BK;406.816.208;S;Block 1001;6658719;37100;-739.155.767;1;18674;238;-739.155.767;G5040;L;U;47;;512;3,6047E+14;406.816.208;1001;0;36;1001;2,10701E+14;BK;406.816.208;S;Block 1001;6658719;37100;-739.155.767;1;18674;238;-739.155.767;G5040;L;U;47;3,6047E+14;36;47;37100;1001;
Markham Playground;Willowbrook Parkway, Forest Avenue & Houston Street;Yes;Yes;Staten Island;;40.569.727;-741.314.386;;81;360850138002000;405.700.018;2000;0;36;2000;2,10701E+14;BK;405.700.018;S;Block 2000;4873147;13800;-741.312.512;2;128778;27;-741.312.512;G5040;L;U;85;;81;3,6085E+14;405.700.018;2000;0;36;2000;2,10701E+14;BK;405.700.018;S;Block 2000;4873147;13800;-741.312.512;2;128778;27;-741.312.512;G5040;L;U;85;3,6085E+14;36;85;13800;2000;
Martin Luther King Houses;Lenox Avenue, West 113 to West 114 streets;Yes;;Manhattan;;408.000.798;-739.510.414;;1051;360610186003000;408.004.222;3000;0;36;3000;2,10701E+14;BK;408.004.222;S;Block 3000;2884040;18600;-739.499.329;3;22291;421;-739.499.329;G5040;L;U;61;;1051;3,6061E+14;408.004.222;3000;0;36;3000;2,10701E+14;BK;408.004.222;S;Block 3000;2884040;18600;-739.499.329;3;22291;421;-739.499.329;G5040;L;U;61;3,6061E+14;36;61;18600;3000;
Martinez Playground;Scholes Street, Graham Avenue;Yes;;Brooklyn;;407.087.885;-739.434.505;;29;360470505001003;407.094.210;1003;0;36;1003;2,10701E+14;BK;407.094.210;S;Block 1003;5933754;50500;-739.443.994;1;23062;3;-739.443.994;G5040;L;U;47;;29;3,60471E+14;407.094.210;1003;0;36;1003;2,10701E+14;BK;407.094.210;S;Block 1003;5933754;50500;-739.443.994;1;23062;3;-739.443.994;G5040;L;U;47;3,60471E+14;36;47;50500;1003;
Mathew Muliner Playground;Delancy Place, Muliner Avenue, Matthews Avenue;Yes;Yes;Bronx;;408.472.985;-7.386.114.839.999.990;;309;360050232001001;408.473.453;1001;0;36;1001;2,10701E+14;BK;408.473.453;S;Block 1001;1605780;23200;-738.616.544;1;20273;127;-738.616.544;G5040;L;U;5;;309;3,6005E+14;408.473.453;1001;0;36;1001;2,10701E+14;BK;408.473.453;S;Block 1001;1605780;23200;-738.616.544;1;20273;127;-738.616.544;G5040;L;U;5;3,6005E+14;36;5;23200;1001;
Maurice A. Fitzgerald Playground;Atlantic Avenue & 106 Street;Yes;;Queens;;40.690.781;-7.383.926.939.999.990;;69;360810116001003;406.902.527;1003;0;36;1003;2,10701E+14;BK;406.902.527;S;Block 1003;1986097;11600;-738.400.162;1;10811;14;-738.400.162;G5040;L;U;81;;69;3,6081E+14;406.902.527;1003;0;36;1003;2,10701E+14;BK;406.902.527;S;Block 1003;1986097;11600;-738.400.162;1;10811;14;-738.400.162;G5040;L;U;81;3,6081E+14;36;81;11600;1003;
Maurice Park;Maurice, Borden, 54 avenues, 63 Street;Yes;;Queens;;407.273.749;-7.390.312;;119;360810511001004;407.267.598;1004;0;36;1004;2,10701E+14;BK;407.267.598;S;Block 1004;1230044;51100;-739.024.928;1;9567;48;-739.024.928;G5040;L;U;81;;119;3,60811E+14;407.267.598;1004;0;36;1004;2,10701E+14;BK;407.267.598;S;Block 1004;1230044;51100;-739.024.928;1;9567;48;-739.024.928;G5040;L;U;81;3,60811E+14;36;81;51100;1004;
May Matthews Playground;West 45 Street between 9 & 10 avenues;Yes;;Manhattan;;407.595.716;-739.893.629;;1248;360610121012000;407.600.751;2000;0;36;2000;2,10701E+14;BK;407.600.751;S;Block 2000;4647795;12101;-739.895.801;2;21994;977;-739.895.801;G5040;L;U;61;;1248;3,6061E+14;407.600.751;2000;0;36;2000;2,10701E+14;BK;407.600.751;S;Block 2000;4647795;12101;-739.895.801;2;21994;977;-739.895.801;G5040;L;U;61;3,6061E+14;36;61;12101;2000;
Mazzei Playground;Mace Avenue, Williamsbridge Road;Yes;;Bronx;;408.630.438;-738.580.616;;239;360050326001002;408.644.430;1002;0;36;1002;2,10701E+14;BK;408.644.430;S;Block 1002;1474949;32600;-738.581.815;1;17693;86;-738.581.815;G5040;L;U;5;;239;3,6005E+14;408.644.430;1002;0;36;1002;2,10701E+14;BK;408.644.430;S;Block 1002;1474949;32600;-738.581.815;1;17693;86;-738.581.815;G5040;L;U;5;3,6005E+14;36;5;32600;1002;
McCaffrey Playground;West 43 Street, 8 & 9 avenues;Yes;;Manhattan;;407.692.123;-739.847.724;;423;360610145003001;407.686.603;3001;0;36;3001;2,10701E+14;BK;407.686.603;S;Block 3001;3354380;14500;-739.844.168;3;8801;279;-739.844.168;G5040;L;U;61;;423;3,6061E+14;407.686.603;3001;0;36;3001;2,10701E+14;BK;407.686.603;S;Block 3001;3354380;14500;-739.844.168;3;8801;279;-739.844.168;G5040;L;U;61;3,6061E+14;36;61;14500;3001;
McCarren Park;12th Street/Driggs Avenue/Lorimer Street/Bedford Avenue;Yes;;Brooklyn;;4.072.348.400.000.000;-7.395.164.989.999.990;;0;360470517002000;407.219.773;2000;0;36;2000;2,10701E+14;BK;407.219.773;S;Block 2000;4140193;51700;-739.541.590;2;38622;0;-739.541.590;G5040;L;U;47;;0;3,60471E+14;407.219.773;2000;0;36;2000;2,10701E+14;BK;407.219.773;S;Block 2000;4140193;51700;-739.541.590;2;38622;0;-739.541.590;G5040;L;U;47;3,60471E+14;36;47;51700;2000;
McDonald Playground;Mcdonald Avenue, between avenues S & T;Yes;;Brooklyn;;406.224.668;-739.755.775;;253;360470450001004;406.225.329;1004;0;36;1004;2,10701E+14;BK;406.225.329;S;Block 1004;8105789;45000;-739.750.414;1;25034;64;-739.750.414;G5040;L;U;47;;253;3,6047E+14;406.225.329;1004;0;36;1004;2,10701E+14;BK;406.225.329;S;Block 1004;8105789;45000;-739.750.414;1;25034;64;-739.750.414;G5040;L;U;47;3,6047E+14;36;47;45000;1004;
McDonald Playground;Forest Avenue, Myrtle Avenue between Broadway & Burgher;Yes;;Staten Island;;407.594.235;-739.850.933;;506;360610125004000;407.602.300;4000;0;36;4000;2,10701E+14;BK;407.602.300;S;Block 4000;3846096;12500;-739.860.957;4;17852;495;-739.860.957;G5040;L;U;61;;506;3,6061E+14;407.602.300;4000;0;36;4000;2,10701E+14;BK;407.602.300;S;Block 4000;3846096;12500;-739.860.957;4;17852;495;-739.860.957;G5040;L;U;61;3,6061E+14;36;61;12500;4000;
McKinley Park;Fort Hamilton Parkway, 73 to 78 streets, 7 Avenue;Yes;;Brooklyn;;406.248.744;-740.196.314;;0;360470136001000;406.256.170;1000;0;36;1000;2,10701E+14;BK;406.256.170;S;Block 1000;4709338;13600;-740.191.045;1;9809;0;-740.191.045;G5040;L;U;47;;0;3,6047E+14;406.256.170;1000;0;36;1000;2,10701E+14;BK;406.256.170;S;Block 1000;4709338;13600;-740.191.045;1;9809;0;-740.191.045;G5040;L;U;47;3,6047E+14;36;47;13600;1000;
McKinley Playground;Avenue A, East 3-East 4 streets;No;;Manhattan;;407.238.277;-739.850.428;;680;360610032005000;407.234.683;5000;0;36;5000;2,10701E+14;BK;407.234.683;S;Block 5000;2885164;3200;-739.839.068;5;17438;360;-739.839.068;G5040;L;U;61;;680;3,6061E+14;407.234.683;5000;0;36;5000;2,10701E+14;BK;407.234.683;S;Block 5000;2885164;3200;-739.839.068;5;17438;360;-739.839.068;G5040;L;U;61;3,6061E+14;36;61;3200;5000;
McLaughlin Park;Tillary Street, Jay Street, Cathedral Place, Bridge Street;Yes;;Brooklyn;;406.959.514;-739.866.012;;410;360470013001011;406.954.926;1011;0;36;1011;2,10701E+14;BK;406.954.926;S;Block 1011;4144859;1300;-739.860.928;1;18581;1;-739.860.928;G5040;L;U;47;;410;3,6047E+14;406.954.926;1011;0;36;1011;2,10701E+14;BK;406.954.926;S;Block 1011;4144859;1300;-739.860.928;1;18581;1;-739.860.928;G5040;L;U;47;3,6047E+14;36;47;1300;1011;
Mellett Playground;Avenue V between East 13 & East 14 streets;Yes;;Brooklyn;;40.735.744;-7.399.250.219.999.990;;1027;360610052002006;407.359.509;2006;0;36;2006;2,10701E+14;BK;407.359.509;S;Block 2006;2844879;5200;-739.924.173;2;15885;669;-739.924.173;G5040;L;U;61;;1027;3,6061E+14;407.359.509;2006;0;36;2006;2,10701E+14;BK;407.359.509;S;Block 2006;2844879;5200;-739.924.173;2;15885;669;-739.924.173;G5040;L;U;61;3,6061E+14;36;61;5200;2006;
Metropolitan Pool;Southeast corner of Bedford & Metropolitan avenues;Yes;;Brooklyn;;407.153.113;-739.604.365;;181;360470553002002;407.158.296;2002;0;36;2002;2,10701E+14;BK;407.158.296;S;Block 2002;8105201;55300;-739.610.334;2;7360;85;-739.610.334;G5040;L;U;47;;181;3,60471E+14;407.158.296;2002;0;36;2002;2,10701E+14;BK;407.158.296;S;Block 2002;8105201;55300;-739.610.334;2;7360;85;-739.610.334;G5040;L;U;47;3,60471E+14;36;47;55300;2002;
Michaelis-Bayswater Park;Beach Channel Drive, B 32 Street, Dwight Avenue, Norton Avenue;Yes;Yes;Queens;;405.987.494;-737.660.029;;562;360810992001006;405.995.794;1006;0;36;1006;2,10701E+14;BK;405.995.794;S;Block 1006;1986738;99200;-737.652.107;1;19404;162;-737.652.107;G5040;L;U;81;;562;3,60811E+14;405.995.794;1006;0;36;1006;2,10701E+14;BK;405.995.794;S;Block 1006;1986738;99200;-737.652.107;1;19404;162;-737.652.107;G5040;L;U;81;3,60811E+14;36;81;99200;1006;
Midland Beach & Boardwalk;Natural Area and Boardwalk from Sands Lane to Vulcan Street, East of Father Capodanno Boulevard;Yes;Yes;Staten Island;This facility is currently closed;405.901.264;-74.077.152;;55;360850070022015;405.902.745;2015;0;36;2015;2,10701E+14;BK;405.902.745;S;Block 2015;6327225;7002;-740.763.584;2;10131;23;-740.763.584;G5040;L;U;85;;55;3,6085E+14;405.902.745;2015;0;36;2015;2,10701E+14;BK;405.902.745;S;Block 2015;6327225;7002;-740.763.584;2;10131;23;-740.763.584;G5040;L;U;85;3,6085E+14;36;85;7002;2015;
Midland Field;Midland Avenue & Mason Avenue;;Yes;Staten Island;Closed from 7:30 - 3:30p during the schoolyear.;405.747.762;-74.097.614;;82;360850112032009;405.751.944;2009;0;36;2009;2,10701E+14;BK;405.751.944;S;Block 2009;7460994;11203;-740.967.989;2;9706;30;-740.967.989;G5040;L;U;85;;82;3,6085E+14;405.751.944;2009;0;36;2009;2,10701E+14;BK;405.751.944;S;Block 2009;7460994;11203;-740.967.989;2;9706;30;-740.967.989;G5040;L;U;85;3,6085E+14;36;85;11203;2009;
Midland Playground;Lincoln & Mason avenues;Yes;;Staten Island;;405.740.084;-7.409.855.270.000.000;;107;360850112031011;405.753.327;1011;0;36;1011;2,10701E+14;BK;405.753.327;S;Block 1011;6323515;11203;-740.997.315;1;57154;39;-740.997.315;G5040;L;U;85;;107;3,6085E+14;405.753.327;1011;0;36;1011;2,10701E+14;BK;405.753.327;S;Block 1011;6323515;11203;-740.997.315;1;57154;39;-740.997.315;G5040;L;U;85;3,6085E+14;36;85;11203;1011;
Millbrook Playground;East 135 Street, Cypress Avenue;Yes;Yes;Bronx;;408.037.164;-7.391.584.619.999.990;;133;360050027011002;408.039.145;1002;0;36;1002;2,10701E+14;BK;408.039.145;S;Block 1002;2133237;2701;-739.152.314;1;4043;39;-739.152.314;G5040;L;U;5;;133;3,6005E+14;408.039.145;1002;0;36;1002;2,10701E+14;BK;408.039.145;S;Block 1002;2133237;2701;-739.152.314;1;4043;39;-739.152.314;G5040;L;U;5;3,6005E+14;36;5;2701;1002;
Monsignor Mcgolrick Park;Driggs to Nassau avenues, Russell to Monitor streets;Yes;;Brooklyn;;407.257.971;-739.426.335;;337;360470589012003;407.267.720;2003;0;36;2003;2,10701E+14;BK;407.267.720;S;Block 2003;4146738;58901;-739.423.146;2;16907;171;-739.423.146;G5040;L;U;47;;337;3,60471E+14;407.267.720;2003;0;36;2003;2,10701E+14;BK;407.267.720;S;Block 2003;4146738;58901;-739.423.146;2;16907;171;-739.423.146;G5040;L;U;47;3,60471E+14;36;47;58901;2003;
Montbellier Park;Springfield Boulevard & 139 Avenue;No;;Queens;;40.673.374;-737.562.501;;207;360810328002002;406.730.073;2002;0;36;2002;2,10701E+14;BK;406.730.073;S;Block 2002;1389958;32800;-737.573.806;2;18768;82;-737.573.806;G5040;L;U;81;;207;3,6081E+14;406.730.073;2002;0;36;2002;2,10701E+14;BK;406.730.073;S;Block 2002;1389958;32800;-737.573.806;2;18768;82;-737.573.806;G5040;L;U;81;3,6081E+14;36;81;32800;2002;
Morningside Park;West 123 Street & Morningside Avenue;Yes;Yes;Manhattan;;408.101.043;-739.550.259;;2077;360610209012000;408.115.469;2000;0;36;2000;2,10701E+14;BK;408.115.469;S;Block 2000;2852125;20901;-739.559.782;2;53641;820;-739.559.782;G5040;L;U;61;;2077;3,6061E+14;408.115.469;2000;0;36;2000;2,10701E+14;BK;408.115.469;S;Block 2000;2852125;20901;-739.559.782;2;53641;820;-739.559.782;G5040;L;U;61;3,6061E+14;36;61;20901;2000;
